name,type,location_level,amenities_notes,known_address,source
Alexandra Retail Mall,Nursing Room,Levels 1 and 2 (near restrooms),Diaper changing station; lockable cubicles; private room,460 Alexandra Road Singapore 119963,BMSG
Buangkok Square Mall,Family Room,Near the water play area,Diaper changing station; wash basin; water dispenser,991 Buangkok Link Singapore 530991,BMSG
Embassy of the Republic of the Philippines in Singapore,Nursing Room,Within the embassy premises,Diaper changing station; wash basin; power points,20 Nassim Road Singapore 258395,BMSG
Forum Shopping Mall,Nursing Room,Level 1,Lockable cubicles; wash basin; power points,583 Orchard Rd Singapore 238884,BMSG+SassyMama
IMM,Nursing Room,"Level 2 (behind Kohong Health Care Centre, near OSIM); Level 3 (near car park entrance)",Lockable family rooms; baby holders; power sockets; sinks,2 Jurong East Street 21 Singapore 609601,BMSG+SassyMama
Orchard Central,Nursing Room,"Levels 3, 4 and 7",No changing tables; nursing only,181 Orchard Rd Singapore 238896,BMSG+SassyMama
Paragon,Nursing Room,Level 3 or 5 (near restrooms),Lockable; marble finishes; diaper disposal bags,290 Orchard Road Singapore 238859,BMSG+SassyMama
Parkway Parade,Nursing Room,Basement 1; Level 1; Level 2; Level 3,Lockable cubicles; power points; toys on some levels,80 Marine Parade Rd Singapore 449269,BMSG+SassyMama
Raffles City Shopping Centre,Nursing Room,Level B1; Level 3,Lockable; diaper dispenser; power points,252 North Bridge Rd Singapore 179103,BMSG+SassyMama
Suntec Convention Centre,Nursing Room,Tower 3 Level 1 and 2; Level 3 beside Concierge,Diaper changing; wash basin; power points,1 Raffles Blvd Singapore 039593,BMSG+SassyMama
Takashimaya,Nursing Room,"Children's Department, Level 4",5 nursing areas; diaper dispenser; TV waiting area,391 Orchard Rd Singapore 238872,BMSG+SassyMama
The Star Vista,Nursing Room,Level 1 (near Lift Lobby A),Lockable; wash basin; water dispenser,1 Vista Exchange Green Singapore 138617,BMSG
United Square,Nursing Room,Level 1,3 nursing rooms; complimentary nursing pads,101 Thomson Rd Singapore 307591,BMSG+SassyMama
VivoCity,Nursing Room,Levels 2 (Lobbies Q and H) and 3 (Lobby H),4 nursing areas; playground nearby,1 HarbourFront Walk Singapore 098585,BMSG+SassyMama
Waterway Point,Nursing Room,Basement 2 to Level 2,Fits 2 strollers; bench for accompanying family,83 Punggol Central Singapore 828763,BMSG+SassyMama
