name,type,location_level,amenities_notes,known_address,source
313@Somerset,Nursing Room,"Levels B3, 1 and 5 Expect changing stations, nursing cubicles with armchairs and benches, large waiting areas, a hot and cold water dispenser, power points at the level 1 nursing room, a microwave at the B3 and Level 5 rooms, and a child look level 1 plus a child-friendly loo at Level B3","313@Somerset , 313 Orchard Rd, Singapore 238895, www.313somerset.com.sg","Location: Levels B3, 1 and 5 Expect changing stations, nursing cubicles with armchairs and benches, large waiting areas, a hot and cold water dispenser, power points at the level 1 nursing room, a microwave at the B3 and Level 5 rooms, and a child look level 1 plus a child-friendly loo at Level B3 . 313@Somerset , 313 Orchard Rd, Singapore 238895",SassyMama
Anchorpoint Shopping Centre,Nursing Room,Basement 1 and Level 1 by the restrooms There are two nursing rooms here with armchairs separated by curtains,"Image credit: Anchorpoint There are also changing stations, hot and cold water dispensers and power points to charge your breast pump , phone or any other electronic device. Anchorpoint Shopping Centre , 370 Alexandra Road, Singapore 159953, www.anchorpoint.com.sg","Image credit: Anchorpoint Location: Basement 1 and Level 1 by the restrooms There are two nursing rooms here with armchairs separated by curtains. There are also changing stations, hot and cold water dispensers and power points to charge your breast pump , phone or any other electronic device. Anchorpoint Shopping Centre , 370 Alexandra Road, Singapore 159953",SassyMama
Ang Mo Kio Hub,Nursing Room,,,,SassyMama
Aperia Kallang Mall,Nursing Room,Level 1 next to the restrooms The two nursing rooms here are separated by curtains and have no locks,"There are also three changing stations, a sink (no soap), power points and a waiting area. Aperia Kallang Mall , 12 Kallang Ave, Singapore 339511, www.capitaland.com/sg/malls/aperia/en.html","Location: Level 1 next to the restrooms The two nursing rooms here are separated by curtains and have no locks. There are also three changing stations, a sink (no soap), power points and a waiting area. Aperia Kallang Mall , 12 Kallang Ave, Singapore 339511",SassyMama
Bedok Mall,Nursing Room,"Level B1 near restrooms Key features include two lockable nursing rooms with armchairs, but there’s no table or space to park your stroller in the room","Image credit: Bedok Mall However, there are two changing stations and a waiting area, so park your elder tots there and make use of the power points to charge your devices. There are also family toilets with a diaper-changing area at Bedok Mall, a children’s loo and a baby seat within the handicapped restrooms. Bedok Mall , 311 New Upper Changi Rd, Singapore 467360, www.capitaland.com/sg/malls/bedokmall/en.html","Image credit: Bedok Mall Location: Level B1 near restrooms Key features include two lockable nursing rooms with armchairs, but there’s no table or space to park your stroller in the room. However, there are two changing stations and a waiting area, so park your elder tots there and make use of the power points to charge your devices. There are also family toilets with a diaper-changing area at Bedok Mall, a children’s loo and a baby seat within the handicapped restrooms. Bedok Mall , 311 New Upper Changi Rd, Singapore 467360",SassyMama
Bugis Junction,Nursing Room,,,,SassyMama
Bukit Panjang Plaza,Nursing Room,"Level 1 (within ladies’ restroom); Level 2 to 3 (next to lifts) and Level 4 (next to the library) The nursing room on Level 1 is merely a cubicle with curtains and no locks, so head up to those on Levels 2 to 4 for lockable doors and added privacy","Other amenities include changing tables and sinks. Bukit Panjang Plaza , 1 Jelebu Rd, Singapore 677743, www.capitaland.com/sg/malls/bukitpanjangplaza/en.html","Location: Level 1 (within ladies’ restroom); Level 2 to 3 (next to lifts) and Level 4 (next to the library) The nursing room on Level 1 is merely a cubicle with curtains and no locks, so head up to those on Levels 2 to 4 for lockable doors and added privacy. Other amenities include changing tables and sinks. Bukit Panjang Plaza , 1 Jelebu Rd, Singapore 677743",SassyMama
Bukit Timah Plaza,Nursing Room,"Level B1 The entire nursing room at Bukit Timah Plaza can be locked, guaranteeing absolute privacy","The downside? There may be longer waiting times if queues are long. The nursing room also has a changing table and a sink. Bukit Timah Plaza , 1 Jalan Anak Bukit, Singapore 588996, www.bukittimahplaza.com.sg","Location: Level B1 The entire nursing room at Bukit Timah Plaza can be locked, guaranteeing absolute privacy. The downside? There may be longer waiting times if queues are long. The nursing room also has a changing table and a sink. Bukit Timah Plaza , 1 Jalan Anak Bukit, Singapore 588996",SassyMama
Causeway Point,Nursing Room,,Diaper changing station; Lockable nursing cubicle(s); Suitable for a single pram; Suitable for a double pram; Wash basin; Water dispenser; Nursing area separated from changing area; Multiple nursing cubicles available; Family-friendly access,,SassyMama+BMSG
Central @ Clarke Quay,Nursing Room,"Level 1, near female restrooms Don’t expect luxury from Central’s nursing room, but it’s got the basics and you can lock the room to have the entire space to yourself","The nursing cubicle can’t be locked, but the entire baby care room can be locked, and there’s also a changing station and sink. Central @ Clarke Quay , 6 Eu Tong Sen St, Singapore 059817, www.fareastmalls.com.sg/clarke-quay-central","Location: Level 1, near female restrooms Don’t expect luxury from Central’s nursing room, but it’s got the basics and you can lock the room to have the entire space to yourself. The nursing cubicle can’t be locked, but the entire baby care room can be locked, and there’s also a changing station and sink. Central @ Clarke Quay , 6 Eu Tong Sen St, Singapore 059817",SassyMama
Centrepoint,Nursing Room,"Level 6 (one within Metro Department Store, one beside Management office and restrooms) You can expect lockable nursing rooms with armchairs and side tables (there’s even a bed in the Metro baby room!), alongside changing tables, a hot and cold water dispenser, a sink and power points as well as a playpen and cot","Centrepoint , 176 Orchard Rd, Singapore 238843, www.thecentrepoint.com.sg","Location: Level 6 (one within Metro Department Store, one beside Management office and restrooms) You can expect lockable nursing rooms with armchairs and side tables (there’s even a bed in the Metro baby room!), alongside changing tables, a hot and cold water dispenser, a sink and power points as well as a playpen and cot. Centrepoint , 176 Orchard Rd, Singapore 238843",SassyMama
Changi Airport,Nursing Room,Click here for locations across all four terminals,"Image credit: Changi Airport via Facebook Changi seriously sets a global standard for its family-friendly facilities, with a whopping 30 baby care facilities spanning its four terminals, in both public and private areas. The nursing rooms are as modern and spacious as the airport itself, offering pretty much everything you need, plus a diaper dispenser in case you forgot to pack those! Each and every room is equipped with a hot water dispenser and clean and comfy changing facilities, and many al","Image credit: Changi Airport via Facebook Location: Click here for locations across all four terminals. Changi seriously sets a global standard for its family-friendly facilities, with a whopping 30 baby care facilities spanning its four terminals, in both public and private areas. The nursing rooms are as modern and spacious as the airport itself, offering pretty much everything you need, plus a diaper dispenser in case you forgot to pack those! Each and every room is equipped with a hot water dispenser and clean and comfy changing facilities, and many also have dedicated, private nursing stalls as well. Our hands-down fave is the Peranakan-themed nursing room in gorgeous Terminal 4 . Unsurprisingly, this most modern terminal offers no less than eleven nursing and changing rooms, including five in public areas like the departure and arrivals halls. Changi Airport , 60 Airport Blvd., Singapore 819643",SassyMama
Changi City Point,Nursing Room,,,,SassyMama
Chinatown Point,Nursing Room,Level 3 The nursing room is small and does not have locks or any form of separation,"There is a small armchair with a changing station and a sink. Chinatown Point , 133 New Bridge Rd, Singapore 059413, www.chinatownpoint.com.sg","Location: Level 3 The nursing room is small and does not have locks or any form of separation. There is a small armchair with a changing station and a sink. Chinatown Point , 133 New Bridge Rd, Singapore 059413",SassyMama
City Square Mall,Nursing Room,Levels 2 and 4 (nursing rooms); Levels B2 to 4 (diaper changing stations in male and female toilets) This vast mall has several baby care rooms that can fit your stroller and offer privacy with lockable nursing rooms,"The two lockable nursing rooms have a sofa, changing stations, sink, power points and a hot and cold water dispenser. City Square Mall , 180 Kitchener Rd, Singapore 208539, www.citysquaremall.com.sg","Location: Levels 2 and 4 (nursing rooms); Levels B2 to 4 (diaper changing stations in male and female toilets) This vast mall has several baby care rooms that can fit your stroller and offer privacy with lockable nursing rooms. The two lockable nursing rooms have a sofa, changing stations, sink, power points and a hot and cold water dispenser. City Square Mall , 180 Kitchener Rd, Singapore 208539",SassyMama
Claymore Connect,Nursing Room,,,,SassyMama
Clementi Mall,Nursing Room,"Level 3 and 4 (two baby rooms by food court and restrooms); Level 5 The lockable nursing rooms have a chair or sofa, changing stations, sinks, a magazine/reading rack and power points","There’s also a play area next to the baby room on Level 4 by the food court. Clementi Mall , 3155 Commonwealth Ave W, Singapore 129588, www.theclementimall.com","Location: Level 3 and 4 (two baby rooms by food court and restrooms); Level 5 The lockable nursing rooms have a chair or sofa, changing stations, sinks, a magazine/reading rack and power points. There’s also a play area next to the baby room on Level 4 by the food court. Clementi Mall , 3155 Commonwealth Ave W, Singapore 129588",SassyMama
Compass One (formerly Compass Point),Nursing Room,"Level B1 and Level 4 Warmly lit and spacious, the nursing room at Compass One has a hot and cold water dispenser, diaper-changing stations and a comfy long bench for bigger tots to sit and unwind while mama feeds baby","Image Credit: Compass One via Official Website Compass One , 1 Sengkang Square, Singapore 545078, www.compassone.sg Read more: Guide To Sengkang Grand Mall","Image Credit: Compass One via Official Website Location: Level B1 and Level 4 Warmly lit and spacious, the nursing room at Compass One has a hot and cold water dispenser, diaper-changing stations and a comfy long bench for bigger tots to sit and unwind while mama feeds baby. Compass One , 1 Sengkang Square, Singapore 545078",SassyMama
Far East Plaza,Nursing Room,"Levels 1 to 5 (Next to the restrooms) The individual parenting rooms at Far East Plaza are fitted with a bench and a changing table, and the entire room can be locked","There’s also a sink, hot and cold water dispenser, high chair, bottle warmer and a waiting area. Far East Plaza , 14 Scotts Rd, Singapore 228213, www.fareastplaza.com.sg","Location: Levels 1 to 5 (Next to the restrooms) The individual parenting rooms at Far East Plaza are fitted with a bench and a changing table, and the entire room can be locked. There’s also a sink, hot and cold water dispenser, high chair, bottle warmer and a waiting area. Far East Plaza , 14 Scotts Rd, Singapore 228213",SassyMama
Forum The Shopping Mall,Nursing Room,"Level 1 The Mother’s Room comes complete with changing stations, two nursing rooms with armchairs (separated by curtains) and a wash basin","Forum the Shopping Mall , 583 Orchard Rd, Singapore 238884, www.forumtheshoppingmall.com.sg","Location: Level 1 The Mother’s Room comes complete with changing stations, two nursing rooms with armchairs (separated by curtains) and a wash basin. Forum the Shopping Mall , 583 Orchard Rd, Singapore 238884",SassyMama
The Fullerton Hotel Singapore,Nursing Room,,,,SassyMama
Great World,Nursing Room,"Levels B1, 1 and 2 Great World’s baby care room is bright, colourful and comfy, with plenty of privacy and facilities such as a basin, hot water dispenser, diaper changing stations and nursing rooms","The nursing rooms can be locked, and have a cosy armchair and table, too. Great World , 1 Kim Seng Promenade, Singapore 237994, shop.greatworld.com.sg","Location: Levels B1, 1 and 2 Great World’s baby care room is bright, colourful and comfy, with plenty of privacy and facilities such as a basin, hot water dispenser, diaper changing stations and nursing rooms. The nursing rooms can be locked, and have a cosy armchair and table, too. Great World , 1 Kim Seng Promenade, Singapore 237994",SassyMama
