category,name,type,amenities_notes,location_level,parent_feedback,source,source_url
SHOPPING CENTRES,Alexandra Retail Mall,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Private room for one parent and baby; Family-friendly access,Levels 1 and 2 (near restrooms),Clean,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Buangkok Square Mall,Family Room,Diaper changing station; Suitable for a single pram; Wash basin; Water dispenser; Family-friendly access; Toddler seat,Near the water play area,Convenient for families visiting the nearby water play area,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Embassy of the Republic of the Philippines in Singapore,Nursing Room,Diaper changing station; Suitable for a single pram; Wash basin; Electrical power points; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby,Within the embassy premises,Clean and spacious; Small waiting area outside the nursing room; Convenient for families visiting the embassy,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Forum Shopping Mall,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Wash basin; Electrical power points; Multiple nursing cubicles available; Family-friendly access,Level 1,Cushioned seating available; Disposable bags provided for diaper disposal,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,IMM,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Suitable for a single pram; Suitable for a double pram; Wash basin; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby; Multiple nursing cubicles available; Family-friendly access,,Family-friendly facility that supports breastfeeding in a comfortable environment,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Orchard Central,Nursing Room,Diaper changing station; Wash basin; Water dispenser; Private room for one parent and baby,Basement 1,Diaper changing facility available within the mall,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Paragon,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Suitable for a single pram; Wash basin; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby; Multiple nursing cubicles available; Family-friendly access,,"Clean, well-equipped and conveniently located",BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Parkway Parade,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Electrical power points; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby; Family-friendly access,Basement 1 (near Japan Home); Level 1 (near HOOGA); Level 2 (near 6 Elements Hair Spa); Level 3 (near Robert Piano),,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Raffles City Shopping Centre,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Wash basin; Electrical power points; Water dispenser; Multiple nursing cubicles available; Family-friendly access,Level 3,Spacious; Two lockable nursing rooms within the parents' room,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Suntec Convention Centre,Nursing Room,Diaper changing station; Suitable for a single pram; Wash basin; Electrical power points; Water dispenser; Private room for one parent and baby,"Tower 3, Level 1 (near Toys ""R"" Us); Tower 3, Level 2 (near Toys ""R"" Us); Level 3 (beside the Concierge)",Convenient for breastfeeding or expressing milk while attending events,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,Takashimaya,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Suitable for a single pram; Suitable for a double pram; Wash basin; Electrical power points; Water dispenser; Nursing area separated from changing area; Private room for one parent and baby; Multiple nursing cubicles available; Family-friendly access,,"Spacious, clean and well-equipped; Staff presence helps maintain the space",BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,The Star Vista,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Wash basin; Water dispenser; Private room for one parent and baby,Level 1 (near Lift Lobby A),Clean and spacious,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
SHOPPING CENTRES,United Square,Nursing Room,Diaper changing station; Lockable nursing cubicle(s); Wash basin; Electrical power points; Water dispenser; Nursing area separated from changing area; Multiple nursing cubicles available; Family-friendly access,Level 1,Spacious and beautifully decorated; Three nursing rooms available; Changing mats in different sizes; Complimentary nursing pads available,BMSG,https://breastfeeding.org.sg/nursing-room-directory/
